;Склад;Остаток;Зарезервировано;К получению;К передаче;Заказано у поставщиков;Свободный остаток
;Номенклатура;В ед. хранения;В ед. хранения;В ед. хранения;В ед. хранения;В ед. хранения;В ед. хранения
;Кимры;100,000;115,000;;;;-15,000
GOOD;Блуза ВК-20;1,000;1,000;;;;
;30-0022/ ярко голубой, 46;1,000;1,000;;;;
GOOD;Блузка жен. 3090-1;1,000;1,000;;;;
;30-2035/15 темно зеленый/флокс, 54;1,000;1,000;;;;
GOOD;Блузка жен. 3129;1,000;1,000;;;;
;30-001/10846-2 черный/богемные розы розовый, 56;1,000;1,000;;;;
GOOD;Блузка жен. 3132;1,000;1,000;;;;
;30-0013/08129-1 т.синий/гжель белый, 56;1,000;1,000;;;;
GOOD;Блузка жен. 3138;1,000;1,000;;;;
;30-001/11621 черный/пэчворк, 58;1,000;1,000;;;;
GOOD;Блузка жен. 3160;2,000;2,000;;;;
;30-002 белый, 62;1,000;1,000;;;;
;30-2017 фиолет, 56;1,000;1,000;;;;
GOOD;Блузка жен. 3171;3,000;3,000;;;;
;30-001 черный, 48;1,000;1,000;;;;
;30-001 черный, 50;1,000;1,000;;;;
;30-0013 т.синий, 46;1,000;1,000;;;;
GOOD;Блузка жен. 3176;;1,000;;;;-1,000
;30-0045 сир.розовый, 54;;1,000;;;;-1,000
GOOD;Блузка жен. 3218;3,000;3,000;;;;
;30-0013/10235-1 т.синий/огурчики розовый, 50;1,000;1,000;;;;
;30-0013/10235-1 т.синий/огурчики розовый, 58;1,000;1,000;;;;
;30-2060/10239 черный/камешки беж, 58;1,000;1,000;;;;
GOOD;Блузка жен. 3223;1,000;2,000;;;;-1,000
;30-0013/1029 т.синий/цвток т.синий, 42;1,000;1,000;;;;
;30-0013/1029 т.синий/цвток т.синий, 46;;1,000;;;;-1,000
GOOD;Брюки жен. 3004;3,000;3,000;;;;
;30-001 черный, 54;1,000;1,000;;;;
;30-0013/т.синий, 46;1,000;1,000;;;;
;30-0013/т.синий, 52;1,000;1,000;;;;
GOOD;Водолазка д/дев. ВК-21Д;2,000;2,000;;;;
;30-2002 молоко, 32 128;2,000;2,000;;;;
GOOD;Водолазка д/дев. ВК-22Д;1,000;1,000;;;;
;30-035 брусника, 36 140;1,000;1,000;;;;
GOOD;Водолазка дет. арт.6040;1,000;1,000;;;;
;01-06 св. серый, 92;1,000;1,000;;;;
GOOD;Воротник-хомут 8120;1,000;1,000;;;;
;03-022/153/155 беж/св.коричневый/какао с молоком, свободный;1,000;1,000;;;;
GOOD;Джемпер д/дев. 603;1,000;1,000;;;;
;13-189/501/0703 т.синий/белый/т.красный , 36 140;1,000;1,000;;;;
GOOD;Джемпер д/дев. арт.6083;;1,000;;;;-1,000
