XML_ID;DETAIL;MORE;
0007794d-4630-11e5-b0a9-002618a8d26d;SYNCRO;SYNCRO;
0058f99e-ade3-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
0058f9b9-ade3-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
00aeb2d9-d21b-11e4-b7ef-002618a8d26d;SYNCRO;SYNCRO;
00aeb2ed-d21b-11e4-b7ef-002618a8d26d;SYNCRO;SYNCRO;
00c3eeae-6668-11e4-ad56-002618a8d26d;SYNCRO;UPDATE;
00f05751-ebd1-11e3-ab1f-002618a8d26d;SYNCRO;SYNCRO;
00f0575a-ebd1-11e3-ab1f-002618a8d26d;SYNCRO;SYNCRO;
00f05763-ebd1-11e3-ab1f-002618a8d26d;SYNCRO;SYNCRO;
00f0576c-ebd1-11e3-ab1f-002618a8d26d;SYNCRO;SYNCRO;
011edccf-d798-11e5-afab-d067e5f9e4b1;SYNCRO;SYNCRO;
011edce4-d798-11e5-afab-d067e5f9e4b1;SYNCRO;SYNCRO;
01498606-3053-11e1-a19f-002618a8d26d;1 >> 2;UPDATE;
0149860d-3053-11e1-a19f-002618a8d26d;1 >> 2;UPDATE;
017d4537-116a-11e4-ab1f-002618a8d26d;SYNCRO;SYNCRO;
01bd1981-21eb-11df-bbc9-0021856e10e1;SYNCRO;UPDATE;
02c506b0-5b43-11e3-9b42-002618a8d26d;SYNCRO;SYNCRO;
02d1ea20-1c6a-11e4-ab1f-002618a8d26d;SYNCRO;SYNCRO;
02d1ea34-1c6a-11e4-ab1f-002618a8d26d;SYNCRO;SYNCRO;
02d1ea49-1c6a-11e4-ab1f-002618a8d26d;SYNCRO;SYNCRO;
02d1ea5d-1c6a-11e4-ab1f-002618a8d26d;SYNCRO;SYNCRO;
02d9b269-dfdb-11e3-ab1f-002618a8d26d;SYNCRO;SYNCRO;
02d9b27b-dfdb-11e3-ab1f-002618a8d26d;SYNCRO;SYNCRO;
03040418-6b99-11e3-9b42-002618a8d26d;SYNCRO;SYNCRO;
03040430-6b99-11e3-9b42-002618a8d26d;SYNCRO;SYNCRO;
0304044f-6b99-11e3-9b42-002618a8d26d;SYNCRO;SYNCRO;
0392d609-2dc5-11e0-8a24-002618a8d26d;SYNCRO;SYNCRO;
0392d61f-2dc5-11e0-8a24-002618a8d26d;SYNCRO;UPDATE;
03e79e55-349a-11de-b53a-002197d362b4;SYNCRO;UPDATE;
03e79e57-349a-11de-b53a-002197d362b4;1 >> 2;UPDATE;
03e79e62-349a-11de-b53a-002197d362b4;SYNCRO;UPDATE;
03e79e6f-349a-11de-b53a-002197d362b4;SYNCRO;UPDATE;
03e79e72-349a-11de-b53a-002197d362b4;SYNCRO;UPDATE;
03e79e76-349a-11de-b53a-002197d362b4;SYNCRO;UPDATE;
03e79e7e-349a-11de-b53a-002197d362b4;SYNCRO;UPDATE;
03ebe174-1548-11de-8614-0013d44b3f63;1 >> 2;UPDATE;
03f58ca0-2985-11e3-88a1-002618a8d26d;1 >> 2;UPDATE;
0430267b-4d91-11e6-8401-d067e5f9e4b1;SYNCRO;UPDATE;
04b3ef19-0db9-11e5-a37e-002618a8d26d;SYNCRO;SYNCRO;
04c4d5d4-80be-11de-b0e0-00112f30913b;SYNCRO;UPDATE;
04c4d5db-80be-11de-b0e0-00112f30913b;SYNCRO;UPDATE;
053ea560-8931-11e1-acc2-002618a8d26d;SYNCRO;SYNCRO;
0564c314-de4d-11de-b5d2-002197d362b4;SYNCRO;UPDATE;
0564c318-de4d-11de-b5d2-002197d362b4;SYNCRO;UPDATE;
0583ffb7-b04b-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
05ac770e-e8c0-11e4-a37e-002618a8d26d;SYNCRO;SYNCRO;
05cfbc4e-939c-11de-b586-002197d362b4;SYNCRO;UPDATE;
05dab083-6d43-11df-9d79-0021856e10e1;SYNCRO;UPDATE;
05dab089-6d43-11df-9d79-0021856e10e1;SYNCRO;SYNCRO;
062feeb3-76ce-11e0-af14-002618a8d26d;SYNCRO;SYNCRO;
062feebb-76ce-11e0-af14-002618a8d26d;SYNCRO;SYNCRO;
063f6b42-ca39-11e5-afab-d067e5f9e4b1;SYNCRO;SYNCRO;
064d5ffc-7163-11e0-af14-002618a8d26d;SYNCRO;SYNCRO;
06562e41-505d-11e5-b0a9-002618a8d26d;SYNCRO;SYNCRO;
06562e56-505d-11e5-b0a9-002618a8d26d;SYNCRO;SYNCRO;
06cb6f40-9723-11e0-af14-002618a8d26d;SYNCRO;UPDATE;
06cb6f6e-9723-11e0-af14-002618a8d26d;1 >> 2;UPDATE;
07e2145d-98b4-11e5-afab-d067e5f9e4b1;SYNCRO;SYNCRO;
